1;12.39842;0.00035186177902782000;0.0000108980984589270000000;0.999648138220972;0.11055532784429
1.5;8.265613333;0.00015405988288376000;0.0000021733340463935000000;0.999845940117116;0.033135872420373
2;6.19921;0.00008606922077456600;0.0000006792054293357100000;0.999913930779225;0.01385528280165
2.5;4.959368;0.00005487804831126200;0.0000002716757854910700000;0.999945121951689;0.0069640463367578
3;4.132806667;0.00003802295282956200;0.0000001284730547565800000;0.999961977047170;0.0039803631732496
3.5;3.542405714;0.00002789355259051000;0.0000000676218882304010000;0.999972106447410;0.0024675107350966
4;3.099605;0.00002133389791071900;0.0000000387807937430920000;0.999978666102089;0.0016364642132717
4.5;2.755204444;0.00001684380097402700;0.0000000236534579287730000;0.999983156199026;0.0011392648587798
5;2.479684;0.00001363585467888700;0.0000000151972192742700000;0.999986364145321;0.00082738377691787
5.5;2.254258182;0.00001126447328988600;0.0000000101610911819350000;0.999988735526710;0.0006209159690741
6;2.066403333;0.00000946210078166890;0.0000000070352540799005000;0.999990537899218;0.00047995942631473
6.5;1.907449231;0.00000806021485968830;0.0000000050067652521832000;0.999991939785140;0.00037993311717174
7;1.771202857;0.00000694835634637090;0.0000000036537943120730000;0.999993051643654;0.00030753856178205
7.5;1.653122667;0.00000605169934491410;0.0000000027251457274536000;0.999993948300655;0.00025390768548812
8;1.5498025;0.00000531807789073720;0.0000000020711212453835000;0.999994681922109;0.00021331840489853
8.5;1.458637647;0.00000471022919242600;0.0000000015983613747339000;0.999995289770808;0.00018187425821188
9;1.377602222;0.00000420095300502510;0.0000000012515707184142000;0.999995799046995;0.00015726361829264
9.5;1.305096842;0.00000377003509380550;0.0000000009934286300596800;0.999996229964906;0.00013778880324861
10;1.239842;0.00000340218372394440;0.0000000007978254657361000;0.999996597816276;0.000122135182039
10.5;1.18080190476190;0.00000308566222365170;0.0000000006476094042051600;0.999996914337776;0.0001094148208788
11.00;1.12712909090910;0.00000281134981821200;0.0000000005307170471320600;0.999997188650182;0.000098961562129909
11.5;1.07812347826090;0.00000257206300390130;0.0000000004386765136641500;0.999997427936996;0.000090285086346835
12.00;1.03320166666670;0.00000236207567615050;0.0000000003654867824078300;0.999997637924324;0.000083025301254179
12.5;0.99187360000000;0.00000217679754491710;0.0000000003068043637814300;0.999997823202455;0.000076911655288014
13.00;0.95372461538462;0.00000201249505835210;0.0000000002592112639859800;0.999997987504942;0.000071708481081408
13.50;0.91840148148148;0.00000186611724058620;0.0000000002204054269074500;0.999998133882759;0.000067264340529343
14.00;0.88560142857143;0.00000173514992960300;0.0000000001884931257501300;0.999998264850070;0.000063439760891056
14.50;0.85506344827586;0.00000161750339802390;0.0000000001620503609971700;0.999998382496602;0.000060126495730892
15.00;0.82656133333333;0.00000151143016329950;0.0000000001400141597662300;0.999998488569837;0.000057242811709244
15.50;0.79989806451613;0.00000141545884336890;0.0000000001215431206833700;0.999998584541157;0.000054720654224686
16.00;0.77490125000000;0.00000132834534834350;0.0000000001059763918933700;0.999998671654652;0.000052504547939753
16.50;0.75141939393939;0.00000124903540983150;0.0000000000927887526610470;0.999998750964590;0.000050548608557922
17.00;0.72931882352941;0.00000117662309279390;0.0000000000815570930112760;0.999998823376907;0.00004881416102626
17.50;0.70848114285714;0.00000111033017714040;0.0000000000719447477631240;0.999998889669823;0.000047269512164984
18.00;0.68880111111111;0.00000104948545484140;0.0000000000636784960398180;0.999998950514545;0.000045887914464384
18.50;0.67018486486486;0.00000099351039501680;0.0000000000565521059053970;0.999999006489605;0.000044649812530737
19.00;0.65254842105263;0.00000094189666671790;0.0000000000503867344925910;0.999999058103333;0.000043536892663489
19.50;0.63581641025641;0.00000089420267134670;0.0000000000450149247502800;0.999999105797329;0.000042529595226238
20.00;0.61992100000000;0.00000085004135933020;0.0000000000403378087966250;0.999999149958641;0.000041618982758909
45066;0.60480097560976;0.00000080907280372091;0.0000000000362415901497090;0.999999190927196;0.000040791111088436
21;0.59040095238095;0.00000077099691321707;0.0000000000326458491700660;0.999999229003087;0.000040036920740042
 21.5;0.57667069767442;0.00000073554732094182;0.0000000000294808894560860;0.999999264452679;0.000039348135895235
22;0.56356454545455;0.00000070248690890474;0.0000000000266869582018390;0.999999297513091;0.000038717353361886
 22.5;0.55104088888889;0.00000067160746766128;0.0000000000242075585974970;0.999999328392532;0.000038136761704923
23;0.53906173913043;0.00000064271943643615;0.0000000000220136137179410;0.999999357280564;0.000037603849988836
 23.5;0.52759234042553;0.00000061565563536038;0.0000000000200547291782760;0.999999384344365;0.000037110488248898
24;0.51660083333333;0.00000059026665381207;0.0000000000183058653239020;0.999999409733346;0.00003665373523893
 24.5;0.50605795918367;0.00000056641687520877;0.0000000000167452887525680;0.999999433583125;0.00003623100130768
25;0.4959368;0.00000054398419132817;0.0000000000153432538121200;0.999999456015809;0.000035837260236191
 25.5;0.48621254901961;0.00000052285739299131;0.0000000000140814133286810;0.999999477142607;0.00003546985949218
26;0.47686230769231;0.00000050293791453731;0.0000000000129458451540970;0.999999497062085;0.000035126968291461
 26.5;0.46786490566038;0.00000048413641147083;0.0000000000119229261344970;0.999999515863588;0.000034806578765713
27;0.45920074074074;0.00000046636874516296;0.0000000000109970731516400;0.999999533631255;0.000034505892921146
 27.5;0.45085163636364;0.00000044956212872576;0.0000000000101576777334150;0.999999550437871;0.000034223203660779
28;0.44280071428571;0.00000043364771870059;0.0000000000093954509984852;0.999999566352281;0.000033956981628425
 28.5;0.43503228070175;0.00000041856400988691;0.0000000000087022867068116;0.999999581435990;0.000033705867366354
